iter	Passed	Remaining
0	5	547
1	10	520
2	15	513
3	20	502
4	26	497
5	31	492
6	36	481
7	40	471
8	45	464
9	50	458
10	55	451
11	61	450
12	67	449
13	72	446
14	78	446
15	84	442
16	89	436
17	94	431
18	99	424
19	104	419
20	110	417
21	116	412
22	121	408
23	128	405
24	133	401
25	139	396
26	144	390
27	149	383
28	154	377
29	160	373
30	166	369
31	171	364
32	177	359
33	182	354
34	188	350
35	193	344
36	198	338
37	203	332
38	209	327
39	215	322
40	220	317
41	225	311
42	231	306
43	236	301
44	241	295
45	246	289
46	251	283
47	256	277
48	262	272
49	267	267
50	271	261
51	277	256
52	282	250
53	287	244
54	292	238
55	296	233
56	302	228
57	307	222
58	312	217
59	317	211
60	323	206
61	328	201
62	334	196
63	338	190
64	343	185
65	349	179
66	354	174
67	360	169
68	365	164
69	371	159
70	376	153
71	382	148
72	388	143
73	394	138
74	400	133
75	405	128
76	410	122
77	415	117
78	421	112
79	426	106
80	431	101
81	436	95
82	441	90
83	447	85
84	452	79
85	458	74
86	464	69
87	469	64
88	474	58
89	479	53
90	485	47
91	490	42
92	495	37
93	501	32
94	507	26
95	514	21
96	519	16
97	524	10
98	529	5
99	533	0
