iter	RMSE
0	0.6358080765
1	0.5873766414
2	0.544951196
3	0.5064109538
4	0.471323565
5	0.437698633
6	0.4070442417
7	0.3772369949
8	0.3526602244
9	0.3292106033
10	0.3069700461
11	0.2873870316
12	0.2693511476
13	0.252831998
14	0.2379375846
15	0.2251194572
16	0.212972708
17	0.2021718753
18	0.1927015048
19	0.183012108
20	0.1745947071
21	0.1677423669
22	0.1610644282
23	0.1555208535
24	0.1498312987
25	0.1441880597
26	0.139278112
27	0.135251136
28	0.1310809606
29	0.1271557501
30	0.1235269998
31	0.1200739249
32	0.117390297
33	0.1150428865
34	0.1124706088
35	0.110232477
36	0.1078875095
37	0.1057706914
38	0.1043260784
39	0.1026616081
40	0.1006438493
41	0.09919727328
42	0.09800337541
43	0.09646074904
44	0.09541125483
45	0.09420864236
46	0.09348040989
47	0.09264364686
48	0.09183563617
49	0.09084178977
50	0.08994583884
51	0.08926703692
52	0.08854308233
53	0.08769865251
54	0.08666041783
55	0.08585331444
56	0.08540710404
57	0.08485746516
58	0.08414322215
59	0.08349501704
60	0.08267008562
61	0.0820677341
62	0.08137222075
63	0.08077179162
64	0.08008604946
65	0.07944083186
66	0.07886008293
67	0.0783321471
68	0.07791998389
69	0.07746806723
70	0.07718576617
71	0.07667263206
72	0.07615365809
73	0.07573490639
74	0.07539730958
75	0.07487357006
76	0.07447134333
77	0.0741926536
78	0.07391219627
79	0.07345401627
80	0.0730570327
81	0.0725674726
82	0.07210298499
83	0.07164669416
84	0.07142751871
85	0.07087415773
86	0.07059198582
87	0.07050210903
88	0.07005082985
89	0.06990021208
90	0.06952085391
91	0.06917189631
92	0.06876355722
93	0.06836040951
94	0.06799569582
95	0.06772674047
96	0.06735170016
97	0.06680661037
98	0.06663233244
99	0.06629923897
