iter	Passed	Remaining
0	9	935
1	18	899
2	26	858
3	36	876
4	45	865
5	53	836
6	61	818
7	69	796
8	77	787
9	85	768
10	96	781
11	105	771
12	114	769
13	127	782
14	136	776
15	147	774
16	156	765
17	164	751
18	173	738
19	181	725
20	189	713
21	197	701
22	207	695
23	216	684
24	224	673
25	232	660
26	239	648
27	247	636
28	256	626
29	263	615
30	271	605
31	280	595
32	288	586
33	297	578
34	306	568
35	315	560
36	323	550
37	332	543
38	341	533
39	350	526
40	358	516
41	367	507
42	375	497
43	383	488
44	391	478
45	400	470
46	408	460
47	417	452
48	425	442
49	433	433
50	440	423
51	447	413
52	454	403
53	461	393
54	467	382
55	474	372
56	480	362
57	485	351
58	492	341
59	498	332
60	504	322
61	509	312
62	515	302
63	522	294
64	528	284
65	533	274
66	539	265
67	544	256
68	550	247
69	555	238
70	560	229
71	567	220
72	573	212
73	579	203
74	585	195
75	591	186
76	597	178
77	603	170
78	609	161
79	615	153
80	622	145
81	627	137
82	634	129
83	640	121
84	646	114
85	652	106
86	659	98
87	665	90
88	672	83
89	678	75
90	684	67
91	690	60
92	696	52
93	702	44
94	708	37
95	714	29
96	720	22
97	726	14
98	732	7
99	739	0
